atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
66,40626,4.6565729036191996e-05,-79.00979212,-2.907450689,-79.00979212,-2.907450689,-101.125,-79.009758,-2.907419,-79.009758,-2.907419,-106.59,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.465000000000003,5.465000000000003
67,40627,4.56868138963028e-05,-79.00954932,-2.907450258,-79.00954932,-2.907450258,-100.8125,-79.009516,-2.907419,-79.009516,-2.907419,-106.12,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.3075000000000045,5.3075000000000045
68,40628,4.4089408972701256e-05,-79.00930652,-2.907449828,-79.00930652,-2.907449828,-100.625,-79.009275,-2.907419,-79.009275,-2.907419,-105.63,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.0049999999999955,5.0049999999999955
69,40629,4.2504843364229986e-05,-79.00906371,-2.907449397,-79.00906371,-2.907449397,-100.375,-79.009034,-2.907419,-79.009034,-2.907419,-105.14,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.765000000000001,4.765000000000001
70,40630,4.1639034437208035e-05,-79.00882091,-2.907448967,-79.00882091,-2.907448967,-100.0625,-79.008792,-2.907419,-79.008792,-2.907419,-104.64,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.577500000000001,4.577500000000001
71,40631,4.008472646575551e-05,-79.0085781,-2.907448536,-79.0085781,-2.907448536,-99.9375,-79.008551,-2.907419,-79.008551,-2.907419,-104.13,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.1924999999999955,4.1924999999999955
72,40632,3.856487049396398e-05,-79.0083353,-2.907448106,-79.0083353,-2.907448106,-99.6875,-79.00831,-2.907419,-79.00831,-2.907419,-103.61,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.9224999999999994,3.9224999999999994
73,40633,3.77096237723362e-05,-79.00809249,-2.907447675,-79.00809249,-2.907447675,-99.5,-79.008068,-2.907419,-79.008068,-2.907419,-103.09,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.5900000000000034,3.5900000000000034
74,40634,3.6230044503964747e-05,-79.00784969,-2.907447245,-79.00784969,-2.907447245,-99.5625,-79.007827,-2.907419,-79.007827,-2.907419,-102.57,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.007499999999993,3.007499999999993
75,40635,3.47792034950336e-05,-79.00760688,-2.907446814,-79.00760688,-2.907446814,-99.5625,-79.007586,-2.907419,-79.007586,-2.907419,-102.04,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.4775000000000063,2.4775000000000063
76,40636,3.395637037356298e-05,-79.00736408,-2.907446383,-79.00736408,-2.907446383,-99.625,-79.007344,-2.907419,-79.007344,-2.907419,-101.51,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.8850000000000051,1.8850000000000051
77,40637,3.256076172210911e-05,-79.00712127,-2.907445952,-79.00712127,-2.907445952,-99.8125,-79.007103,-2.907419,-79.007103,-2.907419,-100.99,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.1774999999999949,1.1774999999999949
78,40638,3.121897405729962e-05,-79.00687847,-2.907445521,-79.00687847,-2.907445521,-100.125,-79.006862,-2.907419,-79.006862,-2.907419,-100.47,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.34499999999999886,0.34499999999999886
79,40639,3.0434142009941892e-05,-79.00663567,-2.90744509,-79.00663567,-2.90744509,-100.625,-79.00662,-2.907419,-79.00662,-2.907419,-99.96,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,0.6650000000000063,0.6650000000000063
80,40640,2.916305678880082e-05,-79.00639286,-2.907444659,-79.00639286,-2.907444659,-101.25,-79.006379,-2.907419,-79.006379,-2.907419,-99.47,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.7800000000000011,1.7800000000000011
81,40647,2.303275452529573e-05,-79.00469323,-2.907441641,-79.00469323,-2.907441641,-101.9375,-79.004689,-2.907419,-79.004689,-2.907419,-96.86,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,5.077500000000001,5.077500000000001
82,40648,2.234253790521059e-05,-79.00445043,-2.90744121,-79.00445043,-2.90744121,-101.8125,-79.004448,-2.907419,-79.004448,-2.907419,-96.68,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,5.132499999999993,5.132499999999993
83,40649,2.178682363269798e-05,-79.00420762,-2.907440778,-79.00420762,-2.907440778,-101.5625,-79.004207,-2.907419,-79.004207,-2.907419,-96.53,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,5.032499999999999,5.032499999999999
84,40655,2.0866704194488105e-05,-79.0027508,-2.907438188,-79.0027508,-2.907438188,-101.875,-79.002759,-2.907419,-79.002759,-2.907419,-97.1,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,4.775000000000006,4.775000000000006
85,40656,2.0803546232684434e-05,-79.002508,-2.907437756,-79.002508,-2.907437756,-100.9375,-79.002517,-2.907419,-79.002517,-2.907419,-97.41,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,3.5275000000000034,3.5275000000000034
