type	GSM
timestamp	12:04:33	13-June-2026
resolution	23
xmin	-79.02458269
xmax	-78.98328462
ymin	-2.914140518
ymax	-2.875179666
x_num_pixels	200
y_num_pixels	187


-78.99149097;-2.913041917;	Site2_1;-101.6250
-78.99128414;-2.913041546;	Site2_1;-101.7500
-78.99107731;-2.913041176;	Site2_1;-101.8125
-78.99087047;-2.913040805;	Site2_1;-101.8750
-78.99066364;-2.913040434;	Site2_1;-102.0000
-79.01775927;-2.912880721;	Site2_4;-102.0000
-79.01755243;-2.912880355;	Site2_4;-101.9375
-79.01734560;-2.91287999;	Site2_4;-101.8125
-79.01713876;-2.912879624;	Site2_4;-101.7500
-79.01693192;-2.912879258;	Site2_4;-101.6250
-79.01672509;-2.912878892;	Site2_4;-101.5625
-79.01651825;-2.912878526;	Site2_4;-101.5000
-79.01631142;-2.91287816;	Site2_4;-101.5000
-79.01610458;-2.912877794;	Site2_4;-101.3750
-79.01589775;-2.912877428;	Site2_4;-101.3125
-79.01569091;-2.912877062;	Site2_4;-101.2500
-79.01548408;-2.912876696;	Site2_4;-101.2500
-79.01527724;-2.912876329;	Site2_4;-101.1250
-79.01507040;-2.912875963;	Site2_4;-101.0625
-79.01486357;-2.912875597;	Site2_4;-101.0000
-79.01465673;-2.912875231;	Site2_4;-101.0000
-79.01444990;-2.912874864;	Site2_4;-100.9375
-79.01424306;-2.912874498;	Site2_4;-100.8750
-79.01403623;-2.912874132;	Site2_4;-100.8125
-79.01382939;-2.912873765;	Site2_4;-100.8125
-79.01362256;-2.912873399;	Site2_4;-100.8125
-79.01341572;-2.912873032;	Site2_4;-100.7500
-79.01320889;-2.912872665;	Site2_4;-100.7500
-79.01300205;-2.912872299;	Site2_4;-100.6875
-79.01279522;-2.912871932;	Site2_4;-100.6250
-79.01258838;-2.912871565;	Site2_4;-100.6250
-79.01238155;-2.912871199;	Site2_4;-100.6250
-79.01217471;-2.912870832;	Site2_4;-100.6250
-79.01196788;-2.912870465;	Site2_4;-100.6250
-79.01176104;-2.912870098;	Site2_4;-100.6250
-79.01155421;-2.912869731;	Site2_4;-100.6875
-79.01134737;-2.912869365;	Site2_4;-100.7500
-79.01114054;-2.912868998;	Site2_4;-100.7500
-79.01093370;-2.912868631;	Site2_4;-100.7500
-79.01072687;-2.912868264;	Site2_4;-100.7500
-79.01052003;-2.912867897;	Site2_4;-100.7500
-79.01031320;-2.912867529;	Site2_4;-100.8125
-79.01010636;-2.912867162;	Site2_4;-100.8125
-79.00989953;-2.912866795;	Site2_4;-100.8750
-79.00969269;-2.912866428;	Site2_4;-101.0000
-79.00948586;-2.912866061;	Site2_4;-101.0000
-79.00927902;-2.912865693;	Site2_4;-101.1250
-79.00907219;-2.912865326;	Site2_4;-101.1875
-79.00886535;-2.912864959;	Site2_4;-101.2500
-79.00865852;-2.912864591;	Site2_4;-101.3125
-79.00845169;-2.912864224;	Site2_4;-101.4375
-79.00824485;-2.912863856;	Site2_4;-101.5000
-79.00803802;-2.912863489;	Site2_4;-101.6250
-79.00783118;-2.912863121;	Site2_4;-101.7500
-79.00762435;-2.912862754;	Site2_4;-101.8750
-79.00741751;-2.912862386;	Site2_4;-101.9375
-79.00059199;-2.912850232;	Site2_1;-101.8750
-79.00038516;-2.912849863;	Site2_1;-101.7500
-79.00017832;-2.912849494;	Site2_1;-101.6250
-78.99997149;-2.912849125;	Site2_1;-101.5000
-78.99976466;-2.912848756;	Site2_1;-101.4375
-78.99955782;-2.912848387;	Site2_1;-101.3125
-78.99935099;-2.912848018;	Site2_1;-101.2500
-78.99914416;-2.912847649;	Site2_1;-101.1875
-78.99893732;-2.91284728;	Site2_1;-101.1250
-78.99873049;-2.912846911;	Site2_1;-101.0625
-78.99852366;-2.912846541;	Site2_1;-101.0000
-78.99831682;-2.912846172;	Site2_1;-100.8750
-78.99810999;-2.912845803;	Site2_1;-100.8750
-78.99790316;-2.912845433;	Site2_1;-100.8125
-78.99769632;-2.912845064;	Site2_1;-100.8125
-78.99748949;-2.912844694;	Site2_1;-100.7500
-78.99728266;-2.912844325;	Site2_1;-100.6875
-78.99707582;-2.912843955;	Site2_1;-100.6250
-78.99686899;-2.912843586;	Site2_1;-100.6250
-78.99666216;-2.912843216;	Site2_1;-100.6250
-78.99645533;-2.912842846;	Site2_1;-100.6250
-78.99624849;-2.912842477;	Site2_1;-100.6250
-78.99604166;-2.912842107;	Site2_1;-100.6250
-78.99583483;-2.912841737;	Site2_1;-100.6250
-78.99562799;-2.912841367;	Site2_1;-100.6250
-78.99542116;-2.912840998;	Site2_1;-100.6250
-78.99521433;-2.912840628;	Site2_1;-100.6250
-78.99500749;-2.912840258;	Site2_1;-100.6250
-78.99480066;-2.912839888;	Site2_1;-100.6250
-78.99459383;-2.912839518;	Site2_1;-100.6875
-78.99438700;-2.912839148;	Site2_1;-100.7500
-78.99418016;-2.912838778;	Site2_1;-100.8125
-78.99397333;-2.912838408;	Site2_1;-100.8125
-78.99376650;-2.912838037;	Site2_1;-100.8750
-78.99355967;-2.912837667;	Site2_1;-100.8750
-78.99335283;-2.912837297;	Site2_1;-100.9375
-78.99314600;-2.912836927;	Site2_1;-101.0000
-78.99293917;-2.912836556;	Site2_1;-101.0625
-78.99273233;-2.912836186;	Site2_1;-101.1250
-78.99252550;-2.912835816;	Site2_1;-101.1250
-78.99231867;-2.912835445;	Site2_1;-101.2500
-78.99211184;-2.912835075;	Site2_1;-101.3125
-78.99190500;-2.912834704;	Site2_1;-101.3125
-78.99169817;-2.912834334;	Site2_1;-101.3750
-78.99149134;-2.912833963;	Site2_1;-101.5000
-78.99128451;-2.912833593;	Site2_1;-101.5625
-78.99107768;-2.912833222;	Site2_1;-101.6250
-78.99087084;-2.912832851;	Site2_1;-101.7500
-78.99066401;-2.91283248;	Site2_1;-101.8125
-78.99045718;-2.91283211;	Site2_1;-101.9375
-78.99025035;-2.912831739;	Site2_1;-102.0000
-79.01817330;-2.912673496;	Site2_4;-102.0000
-79.01796647;-2.91267313;	Site2_4;-101.9375
-79.01775963;-2.912672764;	Site2_4;-101.8750
-79.01755280;-2.912672398;	Site2_4;-101.7500
-79.01734596;-2.912672033;	Site2_4;-101.6875
-79.01713912;-2.912671667;	Site2_4;-101.5625
-79.01693229;-2.912671301;	Site2_4;-101.5000
