atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
48237,54832,0.00019876621694485088,-78.82536187,-2.83059861,-78.82536187,-2.83059861,-92.25,-78.825165,-2.830626,-78.825165,-2.830626,-77.31,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.939999999999998,14.939999999999998
48239,54833,0.0001501277409434499,-78.82453469,-2.83059705,-78.82453469,-2.83059705,-92.6875,-78.824682,-2.830626,-78.824682,-2.830626,-77.47,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.217500000000001,15.217500000000001
48240,54834,8.338035079699169e-05,-78.8241211,-2.83059627,-78.8241211,-2.83059627,-92.875,-78.824199,-2.830626,-78.824199,-2.830626,-96.99,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-4.114999999999995,4.114999999999995
48241,54835,3.195184188659847e-05,-78.82370751,-2.83059549,-78.82370751,-2.83059549,-93.0625,-78.823717,-2.830626,-78.823717,-2.830626,-103.68,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-10.617500000000007,10.617500000000007
48242,54836,6.759832158260556e-05,-78.82329392,-2.830594709,-78.82329392,-2.830594709,-93.25,-78.823234,-2.830626,-78.823234,-2.830626,-99.68,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-6.430000000000007,6.430000000000007
48243,54837,0.00013324713108677587,-78.82288033,-2.830593929,-78.82288033,-2.830593929,-93.4375,-78.822751,-2.830626,-78.822751,-2.830626,-78.09,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.347499999999997,15.347499999999997
48244,54838,0.00020045039660751348,-78.82246674,-2.830593148,-78.82246674,-2.830593148,-93.6875,-78.822269,-2.830626,-78.822269,-2.830626,-78.27,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.417500000000004,15.417500000000004
48246,54839,0.00015042937545103175,-78.82163956,-2.830591586,-78.82163956,-2.830591586,-94.0,-78.821786,-2.830626,-78.821786,-2.830626,-78.44,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.560000000000002,15.560000000000002
48247,54840,8.468948532727613e-05,-78.82122597,-2.830590805,-78.82122597,-2.830590805,-94.25,-78.821303,-2.830626,-78.821303,-2.830626,-78.62,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.629999999999995,15.629999999999995
48248,54841,3.699525549043634e-05,-78.82081238,-2.830590023,-78.82081238,-2.830590023,-94.4375,-78.820821,-2.830626,-78.820821,-2.830626,-78.79,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.647499999999994,15.647499999999994
48249,54842,7.103924734293239e-05,-78.82039879,-2.830589242,-78.82039879,-2.830589242,-94.625,-78.820338,-2.830626,-78.820338,-2.830626,-78.96,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.665000000000006,15.665000000000006
48250,54843,0.00013550384348888674,-78.8199852,-2.83058846,-78.8199852,-2.83058846,-94.8125,-78.819855,-2.830626,-78.819855,-2.830626,-79.13,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.682500000000005,15.682500000000005
48251,54844,0.00020325532657786987,-78.81957161,-2.830587678,-78.81957161,-2.830587678,-95.0625,-78.819372,-2.830626,-78.819372,-2.830626,-79.3,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.762500000000003,15.762500000000003
48253,54845,0.0001509354759367396,-78.81874443,-2.830586114,-78.81874443,-2.830586114,-95.4375,-78.81889,-2.830626,-78.81889,-2.830626,-79.47,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.967500000000001,15.967500000000001
48254,54846,8.633789331901723e-05,-78.81833084,-2.830585332,-78.81833084,-2.830585332,-95.5625,-78.818407,-2.830626,-78.818407,-2.830626,-79.63,94fda027-a5c4-46bc-a0db-69e6471c8ba3,15.932500000000005,15.932500000000005
48255,54847,4.1996998715993385e-05,-78.81791725,-2.830584549,-78.81791725,-2.830584549,-95.8125,-78.817924,-2.830626,-78.817924,-2.830626,-79.8,94fda027-a5c4-46bc-a0db-69e6471c8ba3,16.012500000000003,16.012500000000003
48256,54848,7.47367505918798e-05,-78.81750366,-2.830583767,-78.81750366,-2.830583767,-95.9375,-78.817442,-2.830626,-78.817442,-2.830626,-101.98,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-6.042500000000004,6.042500000000004
48257,54849,0.00013794825536548086,-78.81709007,-2.830582984,-78.81709007,-2.830582984,-96.1875,-78.816959,-2.830626,-78.816959,-2.830626,-107.91,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-11.722499999999997,11.722499999999997
48258,54850,0.00020520863237814333,-78.81667648,-2.830582201,-78.81667648,-2.830582201,-96.3125,-78.816476,-2.830626,-78.816476,-2.830626,-107.99,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-11.677499999999995,11.677499999999995
48260,54851,0.0001516350201132131,-78.81584931,-2.830580635,-78.81584931,-2.830580635,-96.6875,-78.815994,-2.830626,-78.815994,-2.830626,-108.07,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-11.382499999999993,11.382499999999993
48261,54852,8.829901644217632e-05,-78.81543572,-2.830579852,-78.81543572,-2.830579852,-96.9375,-78.815511,-2.830626,-78.815511,-2.830626,-108.15,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-11.212500000000006,11.212500000000006
48262,54853,4.729766932895634e-05,-78.81502213,-2.830579068,-78.81502213,-2.830579068,-97.0625,-78.815028,-2.830626,-78.815028,-2.830626,-108.22,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-11.157499999999999,11.157499999999999
48263,54854,7.866366901849906e-05,-78.81460854,-2.830578285,-78.81460854,-2.830578285,-97.3125,-78.814546,-2.830626,-78.814546,-2.830626,-108.3,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-10.987499999999997,10.987499999999997
48264,54855,0.00014058077926976,-78.81419495,-2.830577501,-78.81419495,-2.830577501,-97.4375,-78.814063,-2.830626,-78.814063,-2.830626,-108.37,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-10.932500000000005,10.932500000000005
48265,54856,0.0002073033132525629,-78.81378136,-2.830576717,-78.81378136,-2.830576717,-97.6875,-78.81358,-2.830626,-78.81358,-2.830626,-108.45,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-10.762500000000003,10.762500000000003
48267,54857,0.0001525357017233577,-78.81295419,-2.830575149,-78.81295419,-2.830575149,-98.0625,-78.813098,-2.830626,-78.813098,-2.830626,-108.52,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-10.457499999999996,10.457499999999996
48268,54858,9.056288695870405e-05,-78.8125406,-2.830574364,-78.8125406,-2.830574364,-98.1875,-78.812615,-2.830626,-78.812615,-2.830626,-105.54,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-7.352500000000006,7.352500000000006
48269,54859,5.2656970099952834e-05,-78.81212701,-2.83057358,-78.81212701,-2.83057358,-98.4375,-78.812132,-2.830626,-78.812132,-2.830626,-101.07,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-2.632499999999993,2.632499999999993
48270,54860,8.278971508981669e-05,-78.81171343,-2.830572795,-78.81171343,-2.830572795,-98.5625,-78.81165,-2.830626,-78.81165,-2.830626,-98.64,94fda027-a5c4-46bc-a0db-69e6471c8ba3,-0.07750000000000057,0.07750000000000057
